rank,model,feature,importance,raw_value,importance_type
1,Logistic Regression,Current Age,32.77483701467833,32.77483701467833,absolute_logistic_coefficient
2,Logistic Regression,Age at ART Initiation,30.3598448313095,-30.3598448313095,absolute_logistic_coefficient
3,Logistic Regression,ART Initiation Age Group_Unknown,27.02068596430824,27.02068596430824,absolute_logistic_coefficient
4,Logistic Regression,ARV Refill Category_Unknown,11.349843762267561,11.349843762267561,absolute_logistic_coefficient
5,Logistic Regression,Months on ART,10.352456664455909,-10.352456664455909,absolute_logistic_coefficient
6,Logistic Regression,Last Regimen_AZT-3TC-NVP,6.329952699264068,6.329952699264068,absolute_logistic_coefficient
7,Logistic Regression,Last Regimen_ABC+3TC+DTG,3.6796325343887126,-3.6796325343887126,absolute_logistic_coefficient
8,Logistic Regression,Last Regimen_TDF-3TC-EFV,3.3956545269369567,3.3956545269369567,absolute_logistic_coefficient
9,Logistic Regression,Pregnancy Status_Unknown,3.014570416426079,3.014570416426079,absolute_logistic_coefficient
10,Logistic Regression,Last Regimen_TDF+3TC+ATV/r,2.9788873425320443,-2.9788873425320443,absolute_logistic_coefficient
11,Logistic Regression,Last Regimen_TDF+3TC+DTG,2.963105678345003,-2.963105678345003,absolute_logistic_coefficient
12,Logistic Regression,Last Regimen_AZT+3TC+ATV/r,2.6698861198416686,-2.6698861198416686,absolute_logistic_coefficient
13,Logistic Regression,LGA_Ugwunagbo,1.7636923332391754,1.7636923332391754,absolute_logistic_coefficient
14,Logistic Regression,Days Of ARV Refill,1.677691345551128,-1.677691345551128,absolute_logistic_coefficient
15,Logistic Regression,LGA_Ehime Mbano,1.6182452838179,1.6182452838179,absolute_logistic_coefficient
16,Logistic Regression,LGA_Ukwa East,1.607245851414064,-1.607245851414064,absolute_logistic_coefficient
17,Logistic Regression,Last Regimen_ABC-3TC-ATV/r,1.5839788979578369,1.5839788979578369,absolute_logistic_coefficient
18,Logistic Regression,Last Regimen_TDF+FTC+DTG,1.5107282833175384,-1.5107282833175384,absolute_logistic_coefficient
19,Logistic Regression,Last Regimen_TDF-3TC-NVP,1.414437799985033,1.414437799985033,absolute_logistic_coefficient
20,Logistic Regression,LGA_Nwangele,1.409638163916147,1.409638163916147,absolute_logistic_coefficient
21,Logistic Regression,Last Regimen_ABC-3TC-NVP,1.357374321076994,1.357374321076994,absolute_logistic_coefficient
22,Logistic Regression,LGA_isi uzo,1.318449447435052,-1.318449447435052,absolute_logistic_coefficient
23,Logistic Regression,LGA_Ohaji/Egbema,1.3015276423190727,-1.3015276423190727,absolute_logistic_coefficient
24,Logistic Regression,LGA_Umu Nneochi,1.2803004844766488,1.2803004844766488,absolute_logistic_coefficient
25,Logistic Regression,Pregnancy Status_NP,1.198841365355782,-1.198841365355782,absolute_logistic_coefficient
26,Logistic Regression,Last Regimen_TDF-3TC-LPV/r,1.1698441262588517,1.1698441262588517,absolute_logistic_coefficient
27,Logistic Regression,LGA_Okigwe,1.1598144582525072,-1.1598144582525072,absolute_logistic_coefficient
28,Logistic Regression,LGA_Isu,1.135195453686277,-1.135195453686277,absolute_logistic_coefficient
29,Logistic Regression,LGA_Owerri Municipal,1.081467849198707,1.081467849198707,absolute_logistic_coefficient
30,Logistic Regression,LGA_Igbo Etiti,1.0341543715418615,1.0341543715418615,absolute_logistic_coefficient
31,Logistic Regression,LGA_Enugu East,1.030913864273875,1.030913864273875,absolute_logistic_coefficient
32,Logistic Regression,LGA_Igbo Eze North,0.9182660689646489,-0.9182660689646489,absolute_logistic_coefficient
33,Logistic Regression,State_Imo,0.914244271401976,0.914244271401976,absolute_logistic_coefficient
34,Logistic Regression,Last Regimen_AZT-3TC-LPV/r,0.864321746998519,0.864321746998519,absolute_logistic_coefficient
35,Logistic Regression,Last Regimen_TDF+3TC+EFV,0.8370801412373822,-0.8370801412373822,absolute_logistic_coefficient
36,Logistic Regression,ARV Refill Category_Short Refill,0.81481312808652,-0.81481312808652,absolute_logistic_coefficient
37,Logistic Regression,LGA_Aninri,0.7548538297982759,0.7548538297982759,absolute_logistic_coefficient
38,Logistic Regression,LGA_Awgu,0.7256613745699573,0.7256613745699573,absolute_logistic_coefficient
39,Logistic Regression,Last Regimen_AZT+3TC+DTG,0.7138498587599944,-0.7138498587599944,absolute_logistic_coefficient
40,Logistic Regression,ART Initiation Age Group_Child,0.6950201947558456,-0.6950201947558456,absolute_logistic_coefficient
41,Logistic Regression,LGA_Udenu,0.6942509300514353,-0.6942509300514353,absolute_logistic_coefficient
42,Logistic Regression,LGA_Nkwerre,0.6755403633586181,0.6755403633586181,absolute_logistic_coefficient
43,Logistic Regression,LGA_Osisioma,0.5926413854200773,0.5926413854200773,absolute_logistic_coefficient
