rank,model,feature,importance,raw_value,importance_type
1,Random Forest,Last Regimen_TDF+3TC+DTG,0.2964931717252411,0.2964931717252411,estimator_feature_importance
2,Random Forest,Months on ART,0.17858732077735298,0.17858732077735298,estimator_feature_importance
3,Random Forest,Last Regimen_TDF-3TC-DTG,0.09873557127236385,0.09873557127236385,estimator_feature_importance
4,Random Forest,Days Of ARV Refill,0.0628184850931471,0.0628184850931471,estimator_feature_importance
5,Random Forest,Missing Viral Load,0.05482747827343168,0.05482747827343168,estimator_feature_importance
6,Random Forest,Viral Load Category_Unknown,0.05415987349190882,0.05415987349190882,estimator_feature_importance
7,Random Forest,Pregnancy Status_Unknown,0.04480448139926254,0.04480448139926254,estimator_feature_importance
8,Random Forest,Current Viral Load,0.03441082996368557,0.03441082996368557,estimator_feature_importance
9,Random Forest,Pregnancy Status_NP,0.028975381492417258,0.028975381492417258,estimator_feature_importance
10,Random Forest,ARV Refill Category_Unknown,0.012607016610363302,0.012607016610363302,estimator_feature_importance
11,Random Forest,ARV Refill Category_Medium Refill,0.010835776572909035,0.010835776572909035,estimator_feature_importance
12,Random Forest,Last Regimen_TDF-3TC-EFV,0.010125832201508663,0.010125832201508663,estimator_feature_importance
13,Random Forest,ARV Refill Category_Short Refill,0.008715338144829547,0.008715338144829547,estimator_feature_importance
14,Random Forest,Current Age,0.00839663910889522,0.00839663910889522,estimator_feature_importance
15,Random Forest,Age at ART Initiation,0.007866803187805431,0.007866803187805431,estimator_feature_importance
16,Random Forest,Last Regimen_ABC+3TC+DTG,0.006094088291227544,0.006094088291227544,estimator_feature_importance
17,Random Forest,State_Imo,0.005389287960174438,0.005389287960174438,estimator_feature_importance
18,Random Forest,LGA_Nkanu West,0.005124316623692599,0.005124316623692599,estimator_feature_importance
19,Random Forest,State_Enugu,0.0043616564042787305,0.0043616564042787305,estimator_feature_importance
20,Random Forest,LGA_Osisioma,0.003651169866963344,0.003651169866963344,estimator_feature_importance
21,Random Forest,Last Regimen_TDF+3TC+ATV/r,0.003412145713081311,0.003412145713081311,estimator_feature_importance
22,Random Forest,Last Regimen_AZT-3TC-NVP,0.0030680077033806703,0.0030680077033806703,estimator_feature_importance
23,Random Forest,LGA_Okigwe,0.0030028915145413923,0.0030028915145413923,estimator_feature_importance
24,Random Forest,LGA_Enugu North,0.002747753219327151,0.002747753219327151,estimator_feature_importance
25,Random Forest,LGA_Ukwa East,0.002281031419867711,0.002281031419867711,estimator_feature_importance
26,Random Forest,LGA_Igbo Eze North,0.002151466581562492,0.002151466581562492,estimator_feature_importance
27,Random Forest,LGA_Owerri Municipal,0.002108659219149516,0.002108659219149516,estimator_feature_importance
28,Random Forest,Last Regimen_ABC-3TC-DTG,0.0020979831776208714,0.0020979831776208714,estimator_feature_importance
29,Random Forest,LGA_Awgu,0.002033501308151991,0.002033501308151991,estimator_feature_importance
30,Random Forest,Viral Load Category_Unsuppressed,0.0020193255836074018,0.0020193255836074018,estimator_feature_importance
31,Random Forest,Sex_M,0.001866061018418868,0.001866061018418868,estimator_feature_importance
32,Random Forest,Age Group_25-34,0.0018268922306836706,0.0018268922306836706,estimator_feature_importance
33,Random Forest,LGA_Owerri North,0.001813973604803625,0.001813973604803625,estimator_feature_importance
34,Random Forest,LGA_Umuahia North,0.0017566903074821083,0.0017566903074821083,estimator_feature_importance
35,Random Forest,LGA_Isiala Ngwa North,0.0016816793010648993,0.0016816793010648993,estimator_feature_importance
36,Random Forest,LGA_Ohaji/Egbema,0.0016093839727444532,0.0016093839727444532,estimator_feature_importance
37,Random Forest,LGA_Enugu East,0.001512859357211639,0.001512859357211639,estimator_feature_importance
38,Random Forest,Patient Transferred In_True,0.0014855539960004062,0.0014855539960004062,estimator_feature_importance
